Date,Close/Last,Volume,Open,High,Low
2025-10-10,$705.30 ,16980090,$730.92 ,$735.27 ,$704.51 
2025-10-09,$733.51 ,12717170,$718.28 ,$733.51 ,$712.44 
2025-10-08,$717.84 ,10790570,$713.45 ,$719.65 ,$707.81 
2025-10-07,$713.08 ,12062930,$717.72 ,$718.50 ,$705.75 
2025-10-06,$715.66 ,21654740,$705.19 ,$716.88 ,$690.51 
2025-10-03,$710.56 ,16154310,$729.63 ,$731.00 ,$710.18 
2025-10-02,$727.05 ,11415270,$722.58 ,$727.77 ,$718.14 
2025-10-01,$717.34 ,20419630,$721.49 ,$721.85 ,$710.20 
2025-09-30,$734.38 ,16226750,$742.25 ,$742.97 ,$726.30 
2025-09-29,$743.40 ,9246768,$748.72 ,$750.78 ,$739.15 
2025-09-26,$743.75 ,9696338,$750.00 ,$751.93 ,$737.35 
2025-09-25,$748.91 ,10591070,$753.45 ,$756.77 ,$744.55 
2025-09-24,$760.66 ,8828227,$757.50 ,$761.11 ,$752.53 
2025-09-23,$755.40 ,10872590,$769.25 ,$770.60 ,$751.07 
2025-09-22,$765.16 ,11706950,$781.85 ,$785.73 ,$764.47 
2025-09-19,$778.38 ,23696820,$786.42 ,$790.80 ,$769.19 
2025-09-18,$780.25 ,10954950,$780.75 ,$788.78 ,$773.36 
2025-09-17,$775.72 ,9400867,$779.99 ,$783.29 ,$766.31 
2025-09-16,$779.00 ,11782480,$767.00 ,$781.36 ,$765.10 
2025-09-15,$764.70 ,10533780,$757.47 ,$774.07 ,$751.99 
2025-09-12,$755.59 ,8248557,$748.73 ,$757.57 ,$743.76 
2025-09-11,$750.90 ,7923284,$754.65 ,$757.10 ,$748.37 
2025-09-10,$751.98 ,12478280,$765.13 ,$765.70 ,$751.00 
2025-09-09,$765.70 ,10999030,$757.49 ,$766.30 ,$753.43 
2025-09-08,$752.30 ,13087820,$756.00 ,$766.51 ,$752.02 
2025-09-05,$752.45 ,9663441,$752.62 ,$757.95 ,$745.03 
2025-09-04,$748.65 ,11439080,$748.57 ,$761.16 ,$745.82 
2025-09-03,$737.05 ,7699332,$736.00 ,$740.25 ,$733.99 
2025-09-02,$735.11 ,9350857,$726.04 ,$736.00 ,$721.73 
2025-08-29,$738.70 ,9070546,$745.28 ,$747.14 ,$735.35 
2025-08-28,$751.11 ,7467955,$744.00 ,$753.05 ,$740.80 
2025-08-27,$747.38 ,8315435,$752.30 ,$754.15 ,$742.84 
2025-08-26,$754.10 ,7601800,$750.80 ,$754.87 ,$747.94 
2025-08-25,$753.30 ,6861158,$754.82 ,$758.88 ,$750.13 
2025-08-22,$754.79 ,10612670,$739.23 ,$756.90 ,$734.39 
2025-08-21,$739.10 ,8876307,$744.71 ,$745.50 ,$733.11 
2025-08-20,$747.72 ,11898190,$747.57 ,$750.20 ,$731.00 
2025-08-19,$751.48 ,12286690,$767.12 ,$767.17 ,$749.36 
2025-08-18,$767.37 ,16513740,$775.09 ,$775.81 ,$756.56 
2025-08-15,$785.23 ,13375360,$784.15 ,$796.25 ,$780.82 
2025-08-14,$782.13 ,8116193,$777.88 ,$787.81 ,$772.51 
2025-08-13,$780.08 ,8811750,$791.15 ,$795.46 ,$778.23 
2025-08-12,$790.00 ,14579770,$773.00 ,$793.67 ,$772.43 
2025-08-11,$765.87 ,7611964,$770.08 ,$773.46 ,$764.67 
2025-08-08,$769.30 ,7320755,$762.75 ,$769.90 ,$758.58 
2025-08-07,$761.83 ,9019691,$773.49 ,$775.00 ,$759.55 
2025-08-06,$771.99 ,9733910,$770.00 ,$773.64 ,$760.46 
2025-08-05,$763.46 ,11640290,$776.45 ,$783.13 ,$763.00 
2025-08-04,$776.37 ,15801730,$760.00 ,$776.85 ,$758.41 
2025-08-01,$750.01 ,19028710,$760.73 ,$766.00 ,$745.31 
2025-07-31,$773.44 ,38831100,$775.20 ,$784.75 ,$765.51 
2025-07-30,$695.21 ,27077290,$708.09 ,$708.50 ,$691.20 
2025-07-29,$700.00 ,13267030,$720.00 ,$724.47 ,$699.91 
2025-07-28,$717.63 ,8715743,$715.20 ,$724.74 ,$712.68 
2025-07-25,$712.68 ,8271698,$716.92 ,$720.65 ,$711.90 
2025-07-24,$714.80 ,10920840,$717.05 ,$723.62 ,$714.00 
2025-07-23,$713.58 ,8771615,$706.37 ,$714.63 ,$704.93 
2025-07-22,$704.81 ,8921064,$716.19 ,$716.60 ,$701.41 
2025-07-21,$712.97 ,9404391,$706.80 ,$717.00 ,$705.76 
2025-07-18,$704.28 ,12779750,$702.19 ,$704.71 ,$691.65 
2025-07-17,$701.41 ,11803260,$704.39 ,$705.90 ,$697.11 
2025-07-16,$702.91 ,13067630,$713.37 ,$713.97 ,$699.27 
2025-07-15,$710.39 ,11529510,$723.90 ,$724.47 ,$709.82 
2025-07-14,$720.92 ,8939399,$717.60 ,$728.00 ,$716.55 
2025-07-11,$717.51 ,10873880,$722.50 ,$725.16 ,$709.70 
2025-07-10,$727.24 ,9922249,$731.55 ,$735.80 ,$719.60 
2025-07-09,$732.78 ,11417960,$722.72 ,$737.53 ,$722.72 
2025-07-08,$720.67 ,7770693,$721.57 ,$722.91 ,$714.81 
2025-07-07,$718.35 ,9457080,$717.60 ,$727.00 ,$713.51 
2025-07-03,$719.01 ,8601653,$726.61 ,$729.03 ,$714.42 
2025-07-02,$713.57 ,9336740,$715.33 ,$720.30 ,$712.80 
2025-07-01,$719.22 ,13431250,$736.88 ,$737.75 ,$715.37 
2025-06-30,$738.09 ,15402110,$744.55 ,$747.90 ,$734.25 
2025-06-27,$733.63 ,18775740,$726.52 ,$735.43 ,$725.86 
2025-06-26,$726.09 ,13964790,$714.36 ,$728.22 ,$711.05 
2025-06-25,$708.68 ,9320436,$713.32 ,$716.58 ,$705.38 
2025-06-24,$712.20 ,13823180,$704.89 ,$713.19 ,$702.11 
2025-06-23,$698.53 ,11080060,$683.69 ,$699.05 ,$678.75 
2025-06-20,$682.35 ,22538640,$700.75 ,$701.82 ,$678.67 
2025-06-18,$695.77 ,10068260,$698.18 ,$701.59 ,$694.90 
2025-06-17,$697.23 ,10066110,$702.00 ,$705.97 ,$696.06 
2025-06-16,$702.12 ,13720290,$699.33 ,$707.15 ,$693.51 
2025-06-13,$682.87 ,9274441,$687.95 ,$694.57 ,$681.01 
2025-06-12,$693.36 ,7322730,$693.30 ,$695.38 ,$687.00 
2025-06-11,$694.14 ,9582508,$703.71 ,$708.87 ,$691.99 
2025-06-10,$702.40 ,10850150,$701.35 ,$703.23 ,$691.56 
2025-06-09,$694.06 ,12773220,$698.46 ,$705.19 ,$693.94 
2025-06-06,$697.71 ,11727960,$696.17 ,$702.81 ,$691.87 
2025-06-05,$684.62 ,13120340,$691.66 ,$694.38 ,$682.25 
2025-06-04,$687.95 ,14031930,$669.32 ,$689.00 ,$668.57 
2025-06-03,$666.85 ,11585030,$671.45 ,$675.58 ,$665.03 
2025-06-02,$670.90 ,15766260,$644.39 ,$673.26 ,$644.26 
2025-05-30,$647.49 ,16240950,$642.50 ,$649.41 ,$632.78 
2025-05-29,$645.05 ,8883436,$651.65 ,$653.32 ,$639.50 
2025-05-28,$643.58 ,9042874,$642.60 ,$650.88 ,$642.55 
2025-05-27,$642.32 ,9508367,$635.41 ,$643.08 ,$632.75 
2025-05-23,$627.06 ,8454067,$624.00 ,$632.45 ,$622.65 
2025-05-22,$636.57 ,8228443,$634.05 ,$643.25 ,$630.71 
2025-05-21,$635.50 ,11464570,$631.79 ,$646.61 ,$630.17 
2025-05-20,$637.10 ,6743473,$636.01 ,$639.35 ,$632.26 
2025-05-19,$640.43 ,9592374,$628.25 ,$643.00 ,$627.80 
2025-05-16,$640.34 ,18518970,$637.96 ,$640.44 ,$626.15 
2025-05-15,$643.88 ,14341840,$654.28 ,$657.31 ,$638.58 
2025-05-14,$659.36 ,12348180,$661.21 ,$662.67 ,$654.31 
2025-05-13,$656.03 ,18570820,$645.55 ,$660.92 ,$642.83 
2025-05-12,$639.43 ,21965090,$630.92 ,$640.39 ,$621.03 
2025-05-09,$592.49 ,10427290,$603.72 ,$606.97 ,$591.71 
2025-05-08,$598.01 ,14622810,$606.29 ,$611.30 ,$596.62 
2025-05-07,$596.81 ,13160980,$590.36 ,$603.08 ,$586.67 
2025-05-06,$587.31 ,10600650,$592.53 ,$596.03 ,$586.58 
2025-05-05,$599.27 ,13887720,$591.22 ,$603.21 ,$588.05 
2025-05-02,$597.02 ,24739260,$583.46 ,$604.34 ,$578.33 
2025-05-01,$572.21 ,31159030,$592.08 ,$592.95 ,$570.50 
2025-04-30,$549.00 ,29243970,$538.40 ,$549.10 ,$529.50 
2025-04-29,$554.44 ,11835040,$546.00 ,$556.57 ,$544.12 
2025-04-28,$549.74 ,15179000,$555.64 ,$558.49 ,$540.59 
2025-04-25,$547.27 ,17098920,$546.80 ,$549.86 ,$536.25 
2025-04-24,$533.15 ,13910010,$518.73 ,$533.90 ,$517.50 
2025-04-23,$520.27 ,18173910,$528.53 ,$535.34 ,$516.52 
2025-04-22,$500.28 ,17399410,$491.87 ,$506.88 ,$486.36 
2025-04-21,$484.66 ,16165980,$491.33 ,$493.50 ,$479.80 
2025-04-17,$501.48 ,14593510,$505.25 ,$507.30 ,$498.01 
2025-04-16,$502.31 ,18735080,$508.51 ,$513.37 ,$495.63 
2025-04-15,$521.52 ,15558660,$532.11 ,$537.94 ,$517.50 
2025-04-14,$531.48 ,14130930,$556.18 ,$557.77 ,$528.28 
2025-04-11,$543.57 ,17642330,$535.51 ,$547.40 ,$528.59 
2025-04-10,$546.29 ,28173490,$575.49 ,$581.30 ,$535.30 
2025-04-09,$585.77 ,39216580,$509.27 ,$587.89 ,$502.11 
2025-04-08,$510.45 ,28034210,$543.25 ,$547.43 ,$502.86 
2025-04-07,$516.25 ,36606140,$485.10 ,$539.37 ,$481.90 
2025-04-04,$504.73 ,38589810,$506.62 ,$518.00 ,$494.20 
2025-04-03,$531.62 ,34777460,$546.22 ,$552.56 ,$530.30 
2025-04-02,$583.93 ,13470780,$574.91 ,$592.66 ,$573.36 
2025-04-01,$586.00 ,12836570,$570.84 ,$589.91 ,$570.00 
2025-03-31,$576.36 ,21124680,$563.50 ,$578.70 ,$553.30 
2025-03-28,$576.74 ,17602820,$600.31 ,$601.75 ,$573.92 
2025-03-27,$602.58 ,10436520,$602.00 ,$614.25 ,$600.10 
2025-03-26,$610.98 ,12661890,$624.89 ,$626.75 ,$606.61 
2025-03-25,$626.31 ,15312540,$626.76 ,$633.88 ,$621.18 
2025-03-24,$618.85 ,15741270,$614.97 ,$622.54 ,$612.20 
2025-03-21,$596.25 ,25015860,$583.43 ,$597.55 ,$580.95 
2025-03-20,$586.00 ,24336510,$582.76 ,$610.20 ,$579.51 
2025-03-19,$584.06 ,20537500,$584.28 ,$592.32 ,$574.77 
2025-03-18,$582.36 ,20297710,$600.05 ,$600.25 ,$574.66 
2025-03-17,$604.90 ,15473910,$607.46 ,$613.10 ,$598.00 
2025-03-14,$607.60 ,12364510,$602.81 ,$608.86 ,$594.78 
2025-03-13,$590.64 ,16480320,$620.25 ,$620.50 ,$586.51 
2025-03-12,$619.56 ,15746970,$629.90 ,$633.33 ,$609.35 
