Date,Close/Last,Volume,Open,High,Low
8/2/2021,$351.95 ,13180440,$358.10 ,$359.40 ,$350.74 
7/30/2021,$356.30 ,15976180,$354.00 ,$360.73 ,$352.94 
7/29/2021,$358.32 ,33413240,$361.00 ,$365.52 ,$356.74 
7/28/2021,$373.28 ,29676910,$374.56 ,$377.55 ,$366.93 
7/27/2021,$367.81 ,15705450,$371.91 ,$373.15 ,$364.55 
7/26/2021,$372.46 ,14925220,$369.58 ,$374.44 ,$368.22 
7/23/2021,$369.79 ,33694330,$360.91 ,$375.33 ,$357.19 
7/22/2021,$351.19 ,12385440,$346.68 ,$351.54 ,$345.21 
7/21/2021,$346.23 ,9279657,$341.50 ,$346.52 ,$341.25 
7/20/2021,$341.66 ,11024280,$338.80 ,$343.45 ,$334.50 
7/19/2021,$336.95 ,14372350,$337.57 ,$339.79 ,$334.54 
7/16/2021,$341.16 ,11026090,$344.91 ,$345.99 ,$340.14 
7/15/2021,$344.46 ,14781590,$349.23 ,$349.23 ,$340.22 
7/14/2021,$347.63 ,13894220,$354.56 ,$355.20 ,$346.73 
7/13/2021,$352.09 ,11455960,$351.50 ,$358.49 ,$348.80 
7/12/2021,$353.16 ,10018620,$351.23 ,$354.19 ,$349.64 
7/9/2021,$350.42 ,13018690,$345.32 ,$350.71 ,$345.27 
7/8/2021,$345.65 ,14406460,$345.73 ,$348.33 ,$342.56 
7/7/2021,$350.49 ,14218870,$355.26 ,$356.49 ,$350.00 
7/6/2021,$352.78 ,13488460,$356.50 ,$358.79 ,$349.18 
7/2/2021,$354.70 ,11524610,$355.10 ,$356.44 ,$352.62 
7/1/2021,$354.39 ,17137020,$346.82 ,$354.67 ,$346.50 
6/30/2021,$347.71 ,15107510,$352.17 ,$352.92 ,$347.17 
6/29/2021,$351.89 ,21417310,$356.27 ,$356.74 ,$349.05 
6/28/2021,$355.64 ,29156130,$342.46 ,$358.14 ,$341.77 
6/25/2021,$341.37 ,14594440,$342.59 ,$344.12 ,$339.68 
6/24/2021,$343.18 ,12329100,$341.85 ,$344.90 ,$341.79 
6/23/2021,$340.59 ,14817820,$339.35 ,$343.42 ,$338.20 
6/22/2021,$339.03 ,15345300,$332.69 ,$339.92 ,$332.60 
6/21/2021,$332.29 ,11337520,$331.09 ,$332.92 ,$327.65 
6/18/2021,$329.66 ,23039460,$334.53 ,$336.15 ,$329.00 
6/17/2021,$336.51 ,17794080,$330.49 ,$337.98 ,$330.15 
6/16/2021,$331.08 ,17232160,$336.70 ,$337.55 ,$328.72 
6/15/2021,$336.75 ,15795230,$336.99 ,$339.92 ,$335.03 
6/14/2021,$336.77 ,12250800,$331.90 ,$336.82 ,$329.81 
6/11/2021,$331.26 ,13587920,$332.58 ,$332.83 ,$328.93 
6/10/2021,$332.46 ,13240230,$330.79 ,$333.94 ,$328.55 
6/9/2021,$330.25 ,13727950,$335.74 ,$336.80 ,$330.00 
6/8/2021,$333.68 ,14580460,$336.70 ,$338.30 ,$332.24 
6/7/2021,$336.58 ,20136710,$329.48 ,$337.69 ,$328.93 
6/4/2021,$330.35 ,13289380,$325.90 ,$332.46 ,$325.18 
6/3/2021,$326.04 ,12610790,$325.78 ,$327.38 ,$323.48 
6/2/2021,$329.15 ,11654280,$330.38 ,$331.87 ,$327.12 
6/1/2021,$329.13 ,11765910,$330.15 ,$331.42 ,$326.64 
5/28/2021,$328.73 ,12037430,$331.00 ,$332.87 ,$328.33 
5/27/2021,$332.75 ,20477730,$328.00 ,$333.78 ,$326.76 
5/26/2021,$327.66 ,9686917,$328.35 ,$329.83 ,$325.82 
5/25/2021,$327.79 ,16436970,$327.08 ,$329.18 ,$324.80 
5/24/2021,$324.63 ,16445360,$318.21 ,$325.95 ,$318.03 
5/21/2021,$316.23 ,13600900,$319.29 ,$319.93 ,$315.81 
5/20/2021,$318.61 ,17320240,$313.58 ,$319.25 ,$313.16 
5/19/2021,$313.59 ,19106240,$304.19 ,$314.66 ,$303.57 
5/18/2021,$309.96 ,14522400,$315.59 ,$316.50 ,$309.81 
5/17/2021,$315.46 ,15371050,$313.55 ,$315.68 ,$311.58 
5/14/2021,$315.94 ,19245720,$309.54 ,$316.85 ,$309.08 
5/13/2021,$305.26 ,18079160,$306.08 ,$308.86 ,$302.77 
5/12/2021,$302.55 ,24641010,$301.13 ,$304.96 ,$298.19 
5/11/2021,$306.53 ,18920090,$300.75 ,$306.84 ,$299.69 
5/10/2021,$305.97 ,24239170,$314.35 ,$314.58 ,$304.83 
5/7/2021,$319.08 ,15916740,$322.38 ,$322.94 ,$318.75 
5/6/2021,$320.02 ,19012240,$314.52 ,$320.24 ,$313.28 
5/5/2021,$315.02 ,15577610,$318.19 ,$321.06 ,$314.49 
5/4/2021,$318.36 ,24032560,$320.03 ,$322.19 ,$313.12 
5/3/2021,$322.58 ,18719460,$326.17 ,$328.55 ,$321.84 
4/30/2021,$325.08 ,26332420,$326.14 ,$329.82 ,$324.50 
4/29/2021,$329.51 ,56526770,$330.12 ,$331.81 ,$321.61 
4/28/2021,$307.10 ,33907210,$307.36 ,$310.92 ,$305.37 
4/27/2021,$303.57 ,15309260,$304.28 ,$305.34 ,$301.11 
4/26/2021,$303.04 ,16172590,$303.34 ,$305.80 ,$301.56 
4/23/2021,$301.13 ,17559500,$298.76 ,$302.59 ,$297.15 
4/22/2021,$296.52 ,16375350,$301.33 ,$302.92 ,$296.04 
4/21/2021,$301.47 ,14863470,$301.95 ,$301.98 ,$297.39 
4/20/2021,$302.65 ,16796440,$301.99 ,$305.10 ,$297.21 
4/19/2021,$302.24 ,14553510,$305.01 ,$307.70 ,$300.56 
4/16/2021,$306.18 ,13059160,$308.17 ,$308.95 ,$304.61 
4/15/2021,$307.82 ,14558270,$306.34 ,$310.14 ,$304.10 
4/14/2021,$302.82 ,17421390,$307.30 ,$308.03 ,$301.95 
4/13/2021,$309.76 ,14036930,$312.21 ,$314.43 ,$309.32 
4/12/2021,$311.54 ,10881940,$311.05 ,$312.15 ,$307.93 
4/9/2021,$312.46 ,15988570,$311.40 ,$314.74 ,$310.33 
4/8/2021,$313.02 ,20894150,$314.85 ,$315.88 ,$310.05 
4/7/2021,$313.09 ,22855240,$306.34 ,$314.25 ,$305.50 
4/6/2021,$306.26 ,17335250,$308.84 ,$311.35 ,$305.25 
4/5/2021,$308.91 ,28237010,$300.89 ,$310.77 ,$300.68 
4/1/2021,$298.66 ,17615980,$298.40 ,$302.40 ,$296.60 
3/31/2021,$294.53 ,19498160,$289.99 ,$296.50 ,$288.61 
3/30/2021,$288.00 ,17474540,$289.83 ,$292.47 ,$286.70 
3/29/2021,$290.82 ,21718830,$285.77 ,$293.18 ,$284.70 
3/26/2021,$283.02 ,17629190,$278.30 ,$284.50 ,$277.77 
3/25/2021,$278.74 ,24505650,$280.98 ,$288.06 ,$277.75 
3/24/2021,$282.14 ,18675050,$291.00 ,$291.72 ,$281.16 
3/23/2021,$290.63 ,23000930,$293.15 ,$298.00 ,$289.81 
3/22/2021,$293.54 ,28273070,$290.45 ,$299.71 ,$286.75 
3/19/2021,$290.11 ,38930540,$281.22 ,$292.80 ,$281.20 
3/18/2021,$278.62 ,18754850,$279.87 ,$285.19 ,$278.28 
3/17/2021,$284.01 ,21315040,$275.71 ,$286.23 ,$275.41 
3/16/2021,$279.28 ,22437670,$276.09 ,$282.14 ,$274.80 
3/15/2021,$273.75 ,16856750,$269.08 ,$275.96 ,$268.50 
3/12/2021,$268.40 ,20600200,$269.14 ,$269.74 ,$264.02 
3/11/2021,$273.88 ,21833980,$268.11 ,$277.90 ,$267.82 
3/10/2021,$264.90 ,14210320,$268.64 ,$268.97 ,$262.87 
3/9/2021,$265.74 ,22039740,$261.18 ,$268.53 ,$259.81 
3/8/2021,$255.31 ,18391770,$265.55 ,$265.58 ,$255.05 
3/5/2021,$264.28 ,26820060,$260.67 ,$265.45 ,$255.61 
3/4/2021,$257.64 ,31626460,$256.47 ,$266.49 ,$253.50 
3/3/2021,$255.41 ,15513520,$260.29 ,$260.99 ,$255.10 
3/2/2021,$259.00 ,15191720,$265.78 ,$266.71 ,$258.65 
3/1/2021,$264.91 ,22157260,$260.82 ,$266.65 ,$257.90 
2/26/2021,$257.62 ,26619520,$256.47 ,$265.55 ,$256.47 
2/25/2021,$254.69 ,19053140,$262.30 ,$266.94 ,$254.04 
2/24/2021,$264.31 ,15736120,$262.33 ,$266.38 ,$258.39 
2/23/2021,$265.86 ,21924560,$259.50 ,$267.46 ,$254.96 
2/22/2021,$260.33 ,17434870,$257.95 ,$263.07 ,$257.53 
2/19/2021,$261.56 ,25622590,$269.86 ,$270.27 ,$260.15 
2/18/2021,$269.39 ,15249130,$269.57 ,$271.95 ,$266.03 
2/17/2021,$273.57 ,12763240,$271.24 ,$273.97 ,$269.58 
2/16/2021,$273.97 ,15417240,$270.80 ,$276.60 ,$270.05 
2/12/2021,$270.50 ,9097597,$270.52 ,$271.18 ,$268.34 
2/11/2021,$270.39 ,12828570,$271.89 ,$273.58 ,$268.49 
2/10/2021,$271.87 ,14687150,$272.45 ,$273.80 ,$267.72 
2/9/2021,$269.45 ,14613380,$266.44 ,$273.39 ,$265.75 
2/8/2021,$266.58 ,13755190,$268.75 ,$269.86 ,$265.00 
2/5/2021,$268.10 ,12454370,$266.80 ,$269.17 ,$265.67 
2/4/2021,$266.49 ,16059960,$267.01 ,$268.16 ,$264.00 
2/3/2021,$266.65 ,14223380,$265.62 ,$269.20 ,$263.84 
2/2/2021,$267.08 ,17320790,$264.00 ,$268.85 ,$263.27 
2/1/2021,$262.01 ,22914260,$259.52 ,$264.17 ,$254.91 
1/29/2021,$258.33 ,30389500,$265.30 ,$266.56 ,$254.85 
1/28/2021,$265.00 ,37758840,$277.18 ,$286.79 ,$264.70 
1/27/2021,$272.14 ,35346190,$282.53 ,$283.45 ,$268.12 
1/26/2021,$282.05 ,19373640,$278.14 ,$285.39 ,$277.81 
1/25/2021,$278.01 ,19086990,$278.14 ,$280.10 ,$271.51 
1/22/2021,$274.50 ,21954040,$272.01 ,$278.47 ,$272.00 
1/21/2021,$272.87 ,20838690,$269.26 ,$273.60 ,$267.49 
1/20/2021,$267.48 ,25199920,$268.93 ,$270.32 ,$263.60 
1/19/2021,$261.10 ,28028550,$256.90 ,$262.20 ,$252.72 
1/15/2021,$251.36 ,24942930,$247.90 ,$253.86 ,$247.16 
1/14/2021,$245.64 ,29739400,$253.40 ,$255.03 ,$244.61 
1/13/2021,$251.64 ,19528940,$251.55 ,$253.95 ,$249.20 
1/12/2021,$251.09 ,26449940,$256.63 ,$259.72 ,$250.30 
1/11/2021,$256.84 ,30412290,$260.48 ,$263.47 ,$255.90 
1/8/2021,$267.57 ,18528250,$268.31 ,$268.95 ,$263.18 
1/7/2021,$268.74 ,15789760,$265.90 ,$271.61 ,$264.78 
1/6/2021,$263.31 ,24354150,$262.00 ,$267.75 ,$260.01 
1/5/2021,$270.97 ,9871557,$268.29 ,$272.40 ,$268.21 
1/4/2021,$268.94 ,15106110,$274.78 ,$275.00 ,$265.20 
