Date,Close/Last,Volume,Open,High,Low
12/31/2024,$166.64 ,4307524,$167.20 ,$167.30 ,$165.84 
12/30/2024,$166.91 ,5254833,$166.51 ,$167.91 ,$164.55 
12/27/2024,$168.96 ,4344287,$170.38 ,$171.15 ,$167.20 
12/26/2024,$171.68 ,4103882,$170.50 ,$172.55 ,$170.50 
12/24/2024,$171.41 ,2451547,$169.70 ,$171.77 ,$169.03 
12/23/2024,$169.14 ,6518229,$169.59 ,$169.62 ,$167.17 
12/20/2024,$169.66 ,13810530,$167.73 ,$171.26 ,$165.63 
12/19/2024,$168.79 ,8386394,$167.55 ,$171.00 ,$167.40 
12/18/2024,$165.41 ,8817934,$169.41 ,$171.23 ,$165.36 
12/17/2024,$169.71 ,8940204,$170.75 ,$172.99 ,$169.27 
12/16/2024,$171.23 ,9571955,$173.84 ,$174.27 ,$170.93 
12/13/2024,$173.39 ,8351106,$175.00 ,$176.14 ,$171.64 
12/12/2024,$175.32 ,8154218,$178.00 ,$178.17 ,$174.81 
12/11/2024,$178.58 ,13188710,$178.00 ,$181.38 ,$174.83 
12/10/2024,$177.74 ,26502020,$173.46 ,$177.80 ,$171.06 
12/9/2024,$190.45 ,20157960,$196.30 ,$198.31 ,$188.93 
12/6/2024,$191.69 ,10503380,$187.00 ,$192.63 ,$186.38 
12/5/2024,$186.24 ,6398073,$189.02 ,$189.02 ,$185.85 
12/4/2024,$188.19 ,8906283,$188.00 ,$189.79 ,$185.90 
12/3/2024,$182.89 ,8917062,$181.18 ,$183.04 ,$179.11 
12/2/2024,$181.41 ,8859696,$185.29 ,$185.29 ,$181.00 
11/29/2024,$184.84 ,4628044,$184.01 ,$185.93 ,$184.00 
11/27/2024,$182.70 ,8368797,$188.96 ,$188.96 ,$182.22 
11/26/2024,$190.37 ,6427210,$188.32 ,$192.40 ,$188.32 
11/25/2024,$187.99 ,15138470,$194.50 ,$194.75 ,$187.99 
11/22/2024,$192.29 ,6879447,$193.00 ,$194.20 ,$191.06 
11/21/2024,$192.43 ,11394260,$191.94 ,$196.04 ,$191.64 
11/20/2024,$190.75 ,4860222,$190.90 ,$190.97 ,$187.82 
11/19/2024,$188.90 ,8116958,$184.89 ,$189.32 ,$184.32 
11/18/2024,$185.73 ,6291406,$184.30 ,$186.18 ,$182.88 
11/15/2024,$183.74 ,8986276,$184.52 ,$185.80 ,$182.33 
11/14/2024,$187.05 ,7804318,$188.66 ,$189.59 ,$186.71 
11/13/2024,$189.63 ,5695426,$189.00 ,$191.77 ,$188.79 
11/12/2024,$189.58 ,6629891,$188.54 ,$190.61 ,$187.20 
11/11/2024,$189.13 ,5973638,$191.05 ,$191.50 ,$187.84 
11/8/2024,$189.25 ,8520419,$186.26 ,$190.16 ,$186.26 
11/7/2024,$186.37 ,7759399,$181.08 ,$186.67 ,$180.54 
11/6/2024,$181.24 ,11084990,$178.52 ,$182.10 ,$177.42 
11/5/2024,$171.78 ,5456754,$170.47 ,$171.89 ,$170.32 
11/4/2024,$169.59 ,4804405,$170.31 ,$170.48 ,$168.73 
11/1/2024,$170.02 ,5680595,$170.15 ,$172.27 ,$169.10 
10/31/2024,$167.84 ,9477476,$170.52 ,$170.88 ,$167.40 
10/30/2024,$174.56 ,5822451,$173.98 ,$176.16 ,$172.79 
10/29/2024,$173.43 ,4122913,$172.29 ,$174.02 ,$172.29 
10/28/2024,$172.42 ,4329971,$174.05 ,$174.17 ,$172.14 
10/25/2024,$173.52 ,3674717,$174.78 ,$176.29 ,$173.10 
10/24/2024,$174.38 ,3488036,$173.32 ,$174.95 ,$172.91 
10/23/2024,$173.10 ,4830414,$174.50 ,$176.07 ,$173.01 
10/22/2024,$175.31 ,5510114,$175.45 ,$175.85 ,$174.28 
10/21/2024,$173.76 ,4198362,$174.45 ,$175.15 ,$173.16 
10/18/2024,$174.69 ,5001257,$176.80 ,$176.97 ,$174.58 
10/17/2024,$175.68 ,5473951,$177.50 ,$177.75 ,$175.14 
10/16/2024,$174.77 ,6383034,$173.50 ,$174.91 ,$171.64 
10/15/2024,$174.09 ,5848630,$176.94 ,$178.22 ,$173.75 
10/14/2024,$176.12 ,4688662,$176.55 ,$177.22 ,$175.50 
10/11/2024,$175.77 ,5869413,$175.50 ,$177.00 ,$174.40 
10/10/2024,$175.41 ,7115887,$177.65 ,$178.30 ,$174.18 
10/9/2024,$178.29 ,8120894,$174.56 ,$178.61 ,$173.81 
10/8/2024,$174.37 ,7845377,$170.60 ,$174.64 ,$170.44 
10/7/2024,$169.97 ,6790956,$170.42 ,$172.33 ,$169.55 
10/4/2024,$170.86 ,6389504,$168.71 ,$170.90 ,$168.17 
10/3/2024,$166.86 ,4735708,$166.89 ,$167.86 ,$166.24 
10/2/2024,$167.71 ,7073025,$167.60 ,$169.18 ,$167.27 
10/1/2024,$167.16 ,7595053,$170.22 ,$170.51 ,$165.97 
9/30/2024,$170.40 ,10218970,$169.50 ,$170.52 ,$166.45 
9/27/2024,$168.74 ,8974377,$168.09 ,$169.11 ,$166.51 
9/26/2024,$168.10 ,7096842,$167.65 ,$168.36 ,$166.48 
9/25/2024,$166.28 ,7142437,$167.69 ,$168.75 ,$165.66 
9/24/2024,$165.80 ,6155076,$165.74 ,$166.10 ,$163.92 
9/23/2024,$165.95 ,7916081,$167.23 ,$167.33 ,$164.26 
9/20/2024,$168.00 ,12187740,$167.13 ,$168.83 ,$166.60 
9/19/2024,$167.59 ,10075880,$167.25 ,$168.16 ,$164.51 
9/18/2024,$164.53 ,12274410,$167.62 ,$167.62 ,$163.73 
9/17/2024,$167.47 ,12580110,$170.28 ,$170.64 ,$166.77 
9/16/2024,$170.33 ,27384370,$164.99 ,$173.99 ,$164.51 
9/13/2024,$162.03 ,25727810,$173.70 ,$173.94 ,$161.00 
9/12/2024,$161.38 ,16352050,$159.04 ,$162.34 ,$157.90 
9/11/2024,$157.18 ,12630120,$156.78 ,$159.44 ,$154.84 
9/10/2024,$155.89 ,37374210,$154.23 ,$160.52 ,$153.12 
9/9/2024,$139.89 ,20233430,$142.49 ,$143.30 ,$139.51 
9/6/2024,$141.81 ,11154800,$143.79 ,$143.94 ,$139.40 
9/5/2024,$142.61 ,8733246,$141.40 ,$143.28 ,$140.31 
9/4/2024,$140.75 ,6243325,$138.44 ,$141.10 ,$137.95 
9/3/2024,$139.50 ,6831174,$140.45 ,$142.20 ,$138.83 
8/30/2024,$141.29 ,7980679,$140.33 ,$141.72 ,$140.10 
8/29/2024,$139.42 ,4588361,$139.14 ,$141.16 ,$138.85 
8/28/2024,$137.88 ,3022639,$138.83 ,$138.95 ,$136.91 
8/27/2024,$138.48 ,3872342,$137.85 ,$139.50 ,$137.74 
8/26/2024,$138.90 ,2729605,$139.39 ,$139.40 ,$138.19 
8/23/2024,$139.19 ,4544571,$138.73 ,$139.79 ,$137.26 
8/22/2024,$138.08 ,5162189,$140.70 ,$141.08 ,$137.65 
8/21/2024,$140.20 ,3776768,$138.80 ,$140.30 ,$138.55 
8/20/2024,$139.17 ,3738261,$137.82 ,$139.79 ,$137.82 
8/19/2024,$137.92 ,3641585,$137.53 ,$137.95 ,$136.46 
8/16/2024,$137.47 ,4893787,$136.79 ,$137.82 ,$136.39 
