Date,Close/Last,Volume,Open,High,Low
12/31/2020,$222.42 ,20942130,$221.70 ,$223.00 ,$219.68 
12/30/2020,$221.68 ,20272340,$225.23 ,$225.63 ,$221.47 
12/29/2020,$224.15 ,17403210,$226.31 ,$227.18 ,$223.58 
12/28/2020,$224.96 ,17933500,$224.45 ,$226.03 ,$223.02 
12/24/2020,$222.75 ,10550570,$221.42 ,$223.61 ,$221.20 
12/23/2020,$221.02 ,18699640,$223.11 ,$223.56 ,$220.80 
12/22/2020,$223.94 ,22643400,$222.69 ,$225.63 ,$221.85 
12/21/2020,$222.59 ,37181890,$217.55 ,$224.00 ,$217.28 
12/18/2020,$218.59 ,63354920,$218.59 ,$219.69 ,$216.02 
12/17/2020,$219.42 ,32515780,$219.87 ,$220.89 ,$217.92 
12/16/2020,$219.28 ,35023250,$214.75 ,$220.11 ,$214.72 
12/15/2020,$214.13 ,27018110,$215.17 ,$215.42 ,$212.24 
12/14/2020,$214.20 ,28798380,$213.10 ,$216.21 ,$212.88 
12/11/2020,$213.26 ,30979440,$210.05 ,$213.32 ,$209.11 
12/10/2020,$210.52 ,26467020,$211.77 ,$213.08 ,$210.36 
12/9/2020,$211.80 ,32440600,$215.16 ,$215.23 ,$211.21 
12/8/2020,$216.01 ,23284090,$213.97 ,$216.95 ,$212.89 
12/7/2020,$214.29 ,24620000,$214.37 ,$215.54 ,$212.99 
12/4/2020,$214.36 ,24666040,$214.22 ,$215.38 ,$213.18 
12/3/2020,$214.24 ,25120920,$214.61 ,$216.38 ,$213.65 
12/2/2020,$215.37 ,23724510,$214.88 ,$215.47 ,$212.80 
12/1/2020,$216.21 ,30931320,$214.51 ,$217.32 ,$213.35 
11/30/2020,$214.07 ,33064750,$214.10 ,$214.76 ,$210.84 
11/27/2020,$215.23 ,14512210,$214.85 ,$216.27 ,$214.04 
11/25/2020,$213.87 ,21012890,$215.11 ,$215.29 ,$212.46 
11/24/2020,$213.86 ,33979730,$209.59 ,$214.25 ,$208.86 
11/23/2020,$210.11 ,25683510,$210.95 ,$212.29 ,$208.16 
11/20/2020,$210.39 ,22843120,$212.20 ,$213.29 ,$210.00 
11/19/2020,$212.42 ,24792750,$211.38 ,$213.03 ,$209.93 
11/18/2020,$211.08 ,28372790,$213.65 ,$215.17 ,$210.93 
11/17/2020,$214.46 ,24154110,$216.10 ,$217.68 ,$214.08 
11/16/2020,$217.23 ,24953340,$214.87 ,$217.74 ,$214.52 
11/13/2020,$216.51 ,18630310,$216.36 ,$217.42 ,$214.16 
11/12/2020,$215.44 ,21616120,$217.21 ,$219.11 ,$214.46 
11/11/2020,$216.55 ,29440790,$212.39 ,$218.04 ,$212.20 
11/10/2020,$211.01 ,44045120,$214.50 ,$216.50 ,$209.72 
11/9/2020,$218.39 ,44394950,$224.44 ,$228.12 ,$217.88 
11/6/2020,$223.72 ,25231900,$222.26 ,$224.36 ,$218.03 
11/5/2020,$223.29 ,36080140,$222.04 ,$224.12 ,$221.15 
11/4/2020,$216.39 ,42311780,$214.02 ,$218.32 ,$212.42 
11/3/2020,$206.43 ,27512030,$203.89 ,$208.12 ,$203.12 
11/2/2020,$202.33 ,30842160,$204.29 ,$205.28 ,$200.12 
10/30/2020,$202.47 ,36980110,$203.50 ,$204.29 ,$199.62 
10/29/2020,$204.72 ,31432560,$204.07 ,$207.36 ,$203.37 
10/28/2020,$202.68 ,51195590,$207.67 ,$208.84 ,$202.10 
10/27/2020,$213.25 ,36700330,$211.59 ,$214.67 ,$210.33 
10/26/2020,$210.08 ,37111560,$213.85 ,$216.34 ,$208.10 
10/23/2020,$216.23 ,18879610,$215.03 ,$216.28 ,$213.16 
10/22/2020,$214.89 ,22351450,$213.93 ,$216.06 ,$211.70 
10/21/2020,$214.80 ,22724910,$213.12 ,$216.92 ,$213.12 
10/20/2020,$214.65 ,22753510,$215.80 ,$217.37 ,$213.09 
10/19/2020,$214.22 ,27625840,$220.42 ,$222.30 ,$213.72 
10/16/2020,$219.66 ,26057880,$220.15 ,$222.29 ,$219.32 
10/15/2020,$219.66 ,22733060,$217.10 ,$220.36 ,$216.01 
10/14/2020,$220.86 ,23451710,$223.00 ,$224.22 ,$219.13 
10/13/2020,$222.86 ,28950840,$222.72 ,$225.21 ,$220.43 
10/12/2020,$221.40 ,40461370,$218.79 ,$223.86 ,$216.81 
